_time,Computer,User,IpAddress,attack_type,risk_score,risk_level,ip,abuse_score,country,isp,domain,is_tor,total_reports
2026-05-20T20:15:36.000+0530,MSEDGEWIN10,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,MSEDGEWIN10,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC01.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC01.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC01.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC01.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC01.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC01.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC01.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC01.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC02.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,PC02.example.corp,,10.0.2.17,Other,20,Low,10.0.2.17,0.0,,,,False,0.0
2026-05-20T20:15:36.000+0530,PC02.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC02.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC02.example.corp,,127.0.0.1,Other,20,Low,127.0.0.1,0.0,,,,False,4060.0
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
2026-05-20T20:15:36.000+0530,PC02.example.corp,,-,Other,20,Low,,,,,,,
